ID,date,ratio
3000,1,
3000,2,1.344538
3000,3,0.10625
3000,4,0.7058824
3000,5,2.416667
3000,6,6.689655
3000,7,0.8092784
3000,8,0.2292994
3000,9,4.277778
3000,10,0.2857143
3000,11,0.7045455
3000,12,0.3870968
3000,13,16
3000,14,0.1041667
3000,15,1.55
3000,16,3
3000,17,1.752688
3000,18,0.04294479
3000,19,21.14286
3000,20,0.5472973
3000,21,1.098765
3000,22,0.6629213
3000,23,2.474576
3000,24,0.1164384
3000,25,2.529412
3000,26,1.581395
3000,27,2.279412
3000,28,0.5741935
3000,29,0.5730337
3000,30,1.27451
3000,31,0.5384615
3000,32,0.6857143
3000,33,3.25
3000,34,2.051282
3000,35,0.24375
3000,36,0.5384615
3000,37,2.809524
3000,38,2.271186
3000,39,1.059701
3000,40,1.028169
3000,41,1
3000,42,0.0890411
3000,43,6.692308
3000,44,2.183908
3000,45,0.4421053
3000,46,0.7142857
3000,47,1.7
3000,48,1.088235
3000,49,0.5675676
3000,50,1.380952
3000,51,0.1494253
3000,52,5.461538
3000,53,2.704225
3000,54,0.015625
3000,55,28
3000,56,1.214286
3000,57,1.068627
3000,58,0.3486239
3000,59,2
3000,60,0.5921053
3000,61,0.9555556
3000,62,2.27907
3000,63,1.734694
3000,64,0.4235294
3000,65,1.944444
3000,66,0.4142857
3000,67,2.068966
3000,68,0.625
3000,69,2.28
3000,70,0.5438596
3000,71,1.419355
3000,72,0.4621212
3000,73,0.6065574
3000,74,3.72973
3000,75,0.2173913
3000,76,3.066667
3000,77,0.9456522
3000,78,1.551724
3000,79,1.466667
3000,80,0.1161616
3000,81,3.956522
3000,82,0.6703297
3000,83,1.04918
3000,84,2.953125
3000,85,0.4285714
3000,86,1.407407
3000,87,1.315789
3000,88,1.3
3000,89,0.2461538
3000,90,2
3000,91,1.03125
3000,92,0.959596
3000,93,1.157895
3000,94,0.009090909
3000,95,124
3000,96,0.3870968
3000,97,3.520833
3000,98,0.1065089
3000,99,6.5
3000,100,0.8632479
3001,1,1.881188
3001,2,0.2578947
3001,3,2.040816
3001,4,0.45
3001,5,1.533333
3001,6,0.1304348
3001,7,14.55556
3001,8,0.4961832
3001,9,0.6
3001,10,2.589744
3001,11,1.524752
3001,12,0.5779221
3001,13,0.258427
3001,14,5.565217
3001,15,0.984375
3001,16,0.1031746
3001,17,1.230769
3001,18,0.4375
3001,19,2.285714
3001,20,3.3125
3001,21,2.490566
3001,22,1.5
3001,23,0.6565657
3001,24,0.6692308
3001,25,0.7126437
3001,26,1.16129
3001,27,0.02777778
3001,28,74.5
3001,29,0.6912752
3001,30,1.262136
3001,31,1.223077
3001,32,0.4591195
3001,33,0.630137
3001,34,0.8043478
3001,35,4.837838
3001,36,1.100559
3001,37,0.1573604
3001,38,4.774194
3001,39,1.290541
3001,40,0.513089
3001,41,0.4285714
3001,42,0.2142857
3001,43,15.66667
3001,44,0.0141844
3001,45,32
3001,46,1.421875
3001,47,0.2857143
3001,48,6.192308
3001,49,1
3001,50,0.173913
3001,51,2.928571
3001,52,0.8902439
3001,53,2.465753
3001,54,0.9722222
3001,55,0.005714286
3001,56,117
3001,57,0.6239316
3001,58,2.260274
3001,59,1.157576
3001,60,0.8795812
3001,61,0.2261905
3001,62,4.157895
3001,63,0.1075949
3001,64,0.1176471
3001,65,19
3001,66,3.157895
3001,67,0.575
3001,68,2.492754
3001,69,0.1569767
3001,70,2.407407
3001,71,1.938462
3001,72,1.190476
3001,73,1.246667
3001,74,0.7379679
3001,75,1.014493
3001,76,0.6357143
3001,77,0.752809
3001,78,1.164179
3001,79,0.1410256
3001,80,5.454545
3001,81,1.6
3001,82,1.53125
3001,83,0.9319728
3001,84,0.5766423
3001,85,0.6075949
3001,86,4.0625
3001,87,0.4410256
3001,88,1.755814
3001,89,0.4238411
3001,90,2.21875
3001,91,13.16901
3001,92,0.09572193
3001,93,0.4972067
3001,94,0.258427
3001,95,0.5652174
3001,96,6.846154
3001,97,0.7303371
3001,98,1.2
3001,99,0.974359
3001,100,1.815789
3002,1,0.1086957
3002,2,7.666667
3002,3,0.008695652
3002,4,161
3002,5,1.173913
3002,6,0.8624339
3002,7,0.1779141
3002,8,5.551724
3002,9,0.6273292
3002,10,0.6732673
3002,11,0.8529412
3002,12,1.155172
3002,13,1.507463
3002,14,0.8415842
3002,15,0.01176471
3002,16,190
3002,17,0.09473684
3002,18,6.666667
3002,19,0.4083333
3002,20,2.408163
3002,21,0.1101695
3002,22,14.53846
3002,23,0.4603175
3002,24,0.137931
3002,25,1.25
3002,26,0.06666667
3002,27,187
3002,28,0.09090909
3002,29,6.941176
3002,30,0.7627119
3002,31,0.1777778
3002,32,5
3002,33,0.8625
3002,34,1.449275
3002,35,1.3
